Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numenta,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.500982666016,-1.2601961714,4,13650,10,1428,15842
numenta,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.500982666016,1.87565501863,5,1870,1,245,2495
numenta,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.500982666016,-0.279090057077,2,13559,0,1591,15902
numenta,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.500982666016,-3.12276900965,1,3023,0,404,4032
numenta,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.500982666016,0.955724313387,3,3085,0,340,4032
numenta,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.500982666016,0.85712688145,1,3025,0,402,4032
numenta,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.500982666016,1.77586771749,6,3453,10,459,4621
numenta,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.500982666016,1.3245468936,3,5787,4,723,7267
numenta,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.500982666016,2.0895007378,5,13571,6,1521,15853
numenta,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.500982666016,0.435597470042,3,3021,4,400,4032
numenta,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.500982666016,1.42651665282,2,1216,3,160,1624
numenta,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.500982666016,-0.44,0,3424,4,0,4032
numenta,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.500982666016,0.603999387502,3,3545,3,470,4730
numenta,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.500982666016,1.71603136566,3,3026,0,399,4032
numenta,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.500982666016,0.712691965065,5,3021,4,398,4032
numenta,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.500982666016,-3.67798286224,1,1872,4,248,2500
numenta,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.500982666016,2.66537088427,9,13511,9,1579,15858
numenta,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.500982666016,-0.55,0,3423,5,0,4032
numenta,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.500982666016,0.332700356683,3,1231,2,161,1643
numenta,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.500982666016,1.5987341609,2,3025,1,400,4032
numenta,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.500982666016,1.71595613499,2,3026,0,400,4032
